Title: Primitive mantle composition from McDonough & Sun (1995),

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O Mg#
12577.20 1609.44 9.966128 28.632298 -118087.891990 3.601385 15.651682 1.218 47.5503 0.892273 16.1603 0.832212 0.071525 7.21484 12.9846 9.99264 2.99693 0.290986 0.210714 0.802719 76.2
12284.30 1609.14 10.657438 30.547558 -126498.361293 3.850251 16.727564 1.246 47.6998 0.88776 16.1365 0.834629 0.0719287 7.17198 12.9625 10.1622 2.85301 0.27211 0.197045 0.750649 76.3
11991.50 1608.84 11.423478 32.668394 -135826.753705 4.126258 17.919596 1.274 47.8549 0.881897 16.105 0.836939 0.0726375 7.12604 12.9398 10.3359 2.70894 0.253863 0.183832 0.700312 76.4
11698.70 1608.53 12.270471 35.011755 -146152.709188 4.431787 19.237347 1.302 48.0177 0.874544 16.0647 0.839087 0.0737094 7.07615 12.9159 10.5129 2.56578 0.23634 0.171143 0.651972 76.5
11405.90 1608.23 13.209400 37.608096 -157612.066399 4.770911 20.697849 1.330 48.1902 0.865538 16.0134 0.84107 0.0752221 7.02205 12.8914 10.6931 2.42385 0.219541 0.158978 0.605629 76.6
11113.10 1607.93 14.244506 40.468939 -170261.853152 5.145390 22.307494 1.359 48.3754 0.854779 15.9491 0.842834 0.0772487 6.96292 12.8654 10.8751 2.28459 0.203587 0.147425 0.56162 76.7
10820.30 1607.63 15.379074 43.603347 -184147.351261 5.556673 24.071151 1.388 48.5762 0.842209 15.8693 0.844362 0.0798642 6.89827 12.8378 11.0574 2.14926 0.188568 0.136549 0.520187 76.8
10527.50 1607.32 16.609650 47.001723 -199233.097224 6.003861 25.983090 1.417 48.7957 0.827867 15.7718 0.845642 0.0831225 6.82775 12.8079 11.2381 2.01948 0.174597 0.126433 0.481648 76.9
10234.80 1607.02 17.934237 50.659066 -215498.460305 6.486563 28.039887 1.448 49.0365 0.811795 15.6526 0.846734 0.0870691 6.75177 12.7766 11.4159 1.89613 0.161702 0.117094 0.446074 77.1
9942.09 1606.72 19.338257 54.535349 -232771.492911 6.999935 30.218373 1.479 49.3011 0.794194 15.5095 0.847693 0.091677 6.6707 12.7437 11.5886 1.78065 0.149962 0.108593 0.413688 77.3
