Title: Sanloup as cited by Taylor et al. (2014)

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
60538.90 2040.49 100.047840 0.1611139657353025 0.169889 280.998271 -949408.088404 30.023541 2.951807 465.816839 127.550858 -3.688 0.000 3.160189 3.367540 -0.826 0 0.000
60243.40 2039.96 100.048241 0.1645733180642944 0.173289 281.133803 -950027.028138 30.039594 3.295321 457.301474 127.701278 -3.692 0.000 3.163029 3.365659 -0.827 0 0.000
59947.80 2039.44 100.048650 0.1681056847436059 0.176756 281.272227 -950641.078312 30.055735 3.639410 448.745926 127.854632 -3.695 0.000 3.165864 3.363748 -0.829 0 0.000
59652.20 2038.91 100.049064 0.1716771401037737 0.180255 281.410743 -951255.601531 30.071804 3.978855 440.305973 128.009521 -3.698 0.000 3.168687 3.361819 -0.830 0 0.000
59356.70 2038.39 100.049486 0.1753136053465833 0.183812 281.551765 -951865.417704 30.087920 4.317049 431.872591 128.167054 -3.701 0.000 3.171497 3.359861 -0.832 0 0.000
59061.20 2037.86 100.049912 0.1789823395281392 0.187394 281.692570 -952476.329245 30.103932 4.648946 423.597334 128.325887 -3.704 0.000 3.174293 3.357888 -0.833 0 0.000
58765.70 2037.34 100.050347 0.1827115896254893 0.191031 281.835678 -953083.250951 30.119967 4.978147 415.365492 128.487232 -3.707 0.000 3.177074 3.355887 -0.834 0 0.000
58470.20 2036.81 100.050786 0.1864655943769233 0.194684 281.978242 -953691.924330 30.135866 5.299355 407.335499 128.649615 -3.710 0.000 3.179837 3.353872 -0.836 0 0.000
58174.70 2036.29 100.051232 0.1902734433887331 0.198385 282.122816 -954297.197774 30.151759 5.616230 399.390919 128.814285 -3.713 0.000 3.182580 3.351832 -0.837 0 0.000
57879.20 2035.76 100.051683 0.1940980161575123 0.202095 282.266512 -954904.894617 30.167485 5.923428 391.691837 128.979712 -3.716 0.000 3.185302 3.349781 -0.838 0 0.000
57583.80 2035.24 100.052141 0.1979676655278100 0.205844 282.411844 -955509.638505 30.183171 6.224529 384.123775 129.147113 -3.719 0.000 3.187999 3.347707 -0.839 0 0.000
